name,Brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,rpm,Nm,seats
Mahindra Scorpio SLE BSIV,Mahindra,2013,490000,90000,Diesel,Individual,Manual,Second Owner,12.05,2179,120,2300,290,8
Hyundai Grand i10 CRDi Sportz,Hyundai,2014,350000,100000,Diesel,Individual,Manual,First Owner,24,1120,70,2125,160,5
Tata Indigo eCS LX TDI BSIII,Tata,2012,140000,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.09,1396,69,2500,135,5
Maruti Swift Dzire ZDi,Maruti,2008,320000,175802,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,2000,190,5
Hyundai i20 Active 1.4 SX with AVN,Hyundai,2015,610000,50000,Diesel,Individual,Manual,Second Owner,21.19,1396,88.73,2125,219,5
Maruti Swift Dzire ZDI,Maruti,2012,625000,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,2000,190,5
Skoda Rapid 1.6 MPI Ambition,Skoda,2013,375000,100000,Petrol,Individual,Manual,First Owner,15,1598,105,3800,153,5
Chevrolet Beat Diesel LT,Chevrolet,2011,221000,56000,Diesel,Dealer,Manual,Second Owner,25.44,936,57.6,1750,150,5
Maruti Swift VDI,Maruti,2011,400000,60000,Diesel,Individual,Manual,First Owner,22.9,1248,74,2000,190,5
Hyundai Santro Xing GLS,Hyundai,2013,180000,65000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,3000,96,5
Maruti 800 Std,Maruti,2007,45000,80000,Petrol,Individual,Manual,First Owner,16.1,796,37,2500,59,4
Mahindra XUV500 W6 2WD,Mahindra,2015,1200000,10000,Diesel,Individual,Manual,First Owner,15.1,2179,140,2200,330,7
Maruti S-Cross 2017-2020 Delta DDiS 200 SH,Maruti,2019,900000,60000,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,1750,200,5
Hyundai i20 Magna 1.4 CRDi,Hyundai,2014,475000,80000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,2125,219,5
Renault Triber RXT BSIV,Renault,2019,600000,5000,Petrol,Individual,Manual,First Owner,20,999,72,3500,96,7
Maruti Wagon R LXI,Maruti,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,3500,90,5
Toyota Corolla Altis 1.8 G,Toyota,2018,1400000,13534,Petrol,Dealer,Manual,First Owner,14.28,1798,138.03,4000,173,5
Volkswagen Polo Select 1.2 MPI Highline,Volkswagen,2010,210000,44500,Petrol,Dealer,Manual,First Owner,16.47,1198,74,3750,110,5
Ford Figo 1.5D Trend MT,Ford,2017,495000,56000,Diesel,Individual,Manual,First Owner,25.83,1498,99,2375,215,5
BMW 3 Series 320d Corporate Edition,BMW,2012,900000,155000,Diesel,Individual,Automatic,Second Owner,16.07,1995,181,1750,380,4
Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,2018,1938000,35000,Diesel,Individual,Manual,First Owner,13.68,2393,147.8,2100,343,7
Hyundai i20 Magna 1.2,Hyundai,2016,590000,16500,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,4000,114,5
Maruti Alto K10 2010-2014 VXI,Maruti,2012,110000,80000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,3500,90,5
Hyundai Grand i10 AT Asta,Hyundai,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197,82,4000,114,5
Maruti Ciaz Delta Automatic BSIV,Maruti,2019,1025000,15000,Petrol,Dealer,Automatic,First Owner,20.28,1462,103.25,4400,138,5
Chevrolet Cruze LTZ AT,Chevrolet,2015,450000,155000,Diesel,Individual,Automatic,First Owner,14.81,1998,163.7,2000,360,5
Hyundai Xcent 1.1 CRDi SX Option,Hyundai,2015,480000,70000,Diesel,Individual,Manual,First Owner,24.4,1120,71,2125,180,5
Mahindra Bolero Power Plus ZLX,Mahindra,2017,660000,60000,Diesel,Individual,Manual,Second Owner,16.5,1493,70,1800,195,7
Maruti Swift VDI Optional,Maruti,2017,580000,30000,Diesel,Individual,Manual,First Owner,25.2,1248,74,2000,190,5
Chevrolet Spark 1.0,Chevrolet,2009,145000,30000,Petrol,Individual,Manual,First Owner,18,995,62,4200,90,5
Maruti Baleno Alpha 1.3,Maruti,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74,2000,190,5
Maruti 800 AC,Maruti,2008,60000,80000,Petrol,Individual,Manual,Second Owner,16.1,796,37,2500,59,4
Maruti Swift Dzire VXI,Maruti,2014,450000,50000,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8,4000,114,5
Honda Amaze V CVT Petrol BSIV,Honda,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19,1199,88.76,4800,110,5
Ford Figo Diesel EXI,Ford,2012,250000,156040,Diesel,Dealer,Manual,First Owner,20,1399,68,2000,160,5
Renault Duster 110PS Diesel RxL AMT,Renault,2017,850000,50000,Diesel,Individual,Automatic,First Owner,19.6,1461,108.45,1750,245,5
Tata Aria Pure LX 4x2,Tata,2014,525000,78000,Diesel,Dealer,Manual,Second Owner,15.05,2179,147.9,2250,320,7
Hyundai Verna VTVT 1.6 AT SX Option,Hyundai,2017,990000,20000,Petrol,Individual,Automatic,First Owner,17,1591,121.3,4850,151,5
Honda City i VTEC VX Option,Honda,2016,750000,16151,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,4600,145,5
Mahindra Scorpio Gateway 2WD,Mahindra,2013,459999,120000,Diesel,Individual,Manual,Second Owner,13.5,2609,115,1950,277,5
Mahindra Scorpio S2 7 Seater,Mahindra,2016,670000,73000,Diesel,Individual,Manual,First Owner,15.4,2523,75,1800,200,7
Ford Freestyle Titanium Petrol BSIV,Ford,2018,690000,25000,Petrol,Individual,Manual,First Owner,19,1194,94.68,4250,120,5
Ford Fiesta Classic 1.4 Duratorq LXI,Ford,2012,300000,70000,Diesel,Individual,Manual,First Owner,18.6,1388,67,2000,160,5
Honda Amaze V Petrol BSIV,Honda,2019,700000,4500,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,4800,110,5
Maruti Swift Dzire ZDI,Maruti,2013,550000,240000,Diesel,Individual,Manual,First Owner,23.4,1248,74,2000,190,5
Mahindra Bolero DI BSIII,Mahindra,2011,390000,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6,2523,63,1470,180,7
Honda Amaze SX i-DTEC,Honda,2017,650000,50000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,1750,200,5
Tata Safari Storme LX,Tata,2013,466000,95500,Diesel,Individual,Manual,Second Owner,14,2179,138.1,2200,320,7
BMW 5 Series 520d Sport Line,BMW,2018,4000000,10000,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,2125,400,5
Mahindra Bolero 2011-2019 DI NON AC BS III White,Mahindra,2013,400000,80000,Diesel,Individual,Manual,First Owner,15.96,2523,63,1470,180,9
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2017,500000,27500,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,4000,113,5
Hyundai Verna 1.6 SX,Hyundai,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,2325,259,5
Tata Indigo CS LX (TDI) BS III,Tata,2013,140000,100000,Diesel,Individual,Manual,First Owner,19.09,1396,69,2500,135,5
Tata Indica V2 Turbomax DLS BS IV,Tata,2012,275000,90000,Diesel,Individual,Manual,Second Owner,19,1405,71,2500,135,5
Skoda Kodiaq 2.0 TDI Style,Skoda,2018,2800000,40000,Diesel,Individual,Automatic,First Owner,16.25,1968,148,2375,340,7
Tata Indica Vista Quadrajet ZX,Tata,2012,250000,40000,Diesel,Individual,Manual,First Owner,22.3,1248,74,2375,190,5
Nissan Terrano XL D Option,Nissan,2018,850000,48000,Diesel,Individual,Manual,First Owner,19.87,1461,83.14,1750,200,5
Toyota Glanza G CVT,Toyota,2019,800000,10000,Petrol,Individual,Automatic,First Owner,19.56,1197,81.8,4200,113,5
Maruti Ertiga LDI,Maruti,2012,400000,90000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,1750,200,7
Fiat Grande Punto 1.3 Emotion (Diesel),Fiat,2011,220000,117000,Diesel,Individual,Manual,Second Owner,20.3,1248,75,1750,197,5
Maruti Swift VDI BSIV,Maruti,2017,590000,30000,Diesel,Individual,Manual,First Owner,25.2,1248,74,2000,190,5
Tata Manza Club Class Quadrajet90 LS,Tata,2013,250000,50000,Diesel,Individual,Manual,First Owner,21.02,1248,88.8,2375,200,5
Maruti Ertiga SHVS VDI,Maruti,2017,720000,80000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,1750,200,7
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2010,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199,73.9,2000,180,5
Toyota Etios Liva GD,Toyota,2015,450000,25000,Diesel,Individual,Manual,First Owner,23.59,1364,67.04,2100,170,5
Maruti Wagon R Stingray VXI,Maruti,2014,300000,74537,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,3500,90,5
Maruti SX4 ZDI,Maruti,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,1750,200,5
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai,2018,450000,56000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,4000,113,5
Maruti Baleno Alpha Automatic,Maruti,2018,800000,25000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,4000,115,5
Honda City i DTEC V,Honda,2015,611000,80000,Diesel,Individual,Manual,Second Owner,26,1498,98.6,1750,200,5
Maruti Swift Dzire ZDI,Maruti,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74,2000,190,5
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2010,200000,188000,Diesel,Individual,Manual,Second Owner,21.12,1248,88.8,2375,200,5
Toyota Etios VX,Toyota,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,3000,132,5
Mahindra Bolero SLX 4WD BSIII,Mahindra,2011,310000,5000,Diesel,Individual,Manual,First Owner,13.6,2523,63,1470,180,7
Hyundai Grand i10 Sportz,Hyundai,2016,490000,26000,Petrol,Individual,Manual,First Owner,18.9,1197,82,4000,114,5
Tata Safari Storme EX,Tata,2016,650000,50000,Diesel,Individual,Manual,Third Owner,14.1,2179,147.94,2250,320,7
Tata Tiago 1.2 Revotron XZ,Tata,2017,430000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84,3500,114,5
Maruti Alto K10 VXI,Maruti,2016,250000,20000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,3500,90,5
Mahindra XUV500 W6 2WD,Mahindra,2014,825000,165000,Diesel,Individual,Manual,Second Owner,15.1,2179,140,2200,330,7
Maruti Ertiga VDI,Maruti,2012,459999,87000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,1750,200,7
Maruti Ciaz 1.3 Alpha,Maruti,2017,720000,60000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,1750,200,5
Tata Safari Storme EX,Tata,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,2250,320,7
Chevrolet Beat Diesel LT,Chevrolet,2012,165000,70000,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,1750,150,5
Mahindra XUV500 W9 2WD,Mahindra,2018,1350000,40000,Diesel,Individual,Manual,First Owner,16,2179,138,2200,330,7
Ford Figo Aspire 1.5 TDCi Titanium,Ford,2017,700000,49957,Diesel,Dealer,Manual,First Owner,25.83,1498,99,2375,215,5
Tata Indica V2 LSi,Tata,2012,75000,12000,Petrol,Individual,Manual,First Owner,16.84,1193,64.4,2700,99,5
Tata Tiago 1.2 Revotron XZ,Tata,2017,400000,26000,Petrol,Individual,Manual,First Owner,23.84,1199,84,3500,114,5
Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,Tata,2010,250000,37944,Diesel,Individual,Manual,First Owner,18.4,1248,75,1750,190,5
Ford Freestyle Titanium Petrol BSIV,Ford,2018,700000,19100,Petrol,Individual,Manual,First Owner,19,1194,94.68,4250,120,5
Maruti 800 Std,Maruti,2003,50000,50000,Petrol,Individual,Manual,Third Owner,16.1,796,37,2500,59,4
Hyundai Grand i10 CRDi Asta,Hyundai,2014,380000,50000,Diesel,Individual,Manual,Second Owner,24,1120,70,2125,160,5
Maruti Alto LXi,Maruti,2007,110000,120000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,3000,62,5
Mahindra XUV500 W8 AWD,Mahindra,2014,750000,70000,Diesel,Individual,Manual,Second Owner,15.1,2179,140,2200,330,7
Maruti Ritz VDi,Maruti,2012,229999,120000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,2000,190,5
Maruti Baleno Delta Automatic,Maruti,2019,685000,19000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,4000,115,5
Hyundai Verna 1.6 CRDi SX,Hyundai,2017,800000,45500,Diesel,Individual,Manual,Second Owner,23.9,1582,126.2,2325,259,5
Maruti Gypsy King Soft Top MPI BSIV,Maruti,2017,500000,20000,Petrol,Individual,Manual,First Owner,11.96,1298,80,4500,103,8
Hyundai Creta 1.6 CRDi Anniversary Edition,Hyundai,2015,1300000,40000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,2325,259,5
Hyundai Grand i10 SportZ Edition,Hyundai,2015,499000,20000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,4000,113,5
Volkswagen Vento Diesel Highline,Volkswagen,2013,350000,100000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,2000,250,5
Honda City i DTEC VX,Honda,2015,700000,140000,Diesel,Individual,Manual,Second Owner,25.1,1498,98.6,1750,200,5
Maruti Wagon R LXI,Maruti,2003,55000,167000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,3500,90,5
Hyundai Elite i20 Asta Option CVT BSIV,Hyundai,2018,730000,31000,Petrol,Dealer,Automatic,First Owner,17.4,1197,81.86,4000,117,5
Chevrolet Cruze LTZ,Chevrolet,2011,270000,100000,Diesel,Individual,Manual,Third Owner,18.3,1991,147.9,2600,327,5
Maruti Ertiga SHVS ZDI Plus,Maruti,2017,850000,40000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,1750,200,7
Hyundai EON Sportz,Hyundai,2017,300000,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,4000,74,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,Jaguar,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,2125,430,5
Volkswagen Polo 2015-2019 1.5 TDI Highline Plus,Volkswagen,2018,650000,40000,Diesel,Dealer,Manual,First Owner,20.14,1498,88,2000,230,5
Maruti Swift Dzire VDI,Maruti,2015,470000,110000,Diesel,Individual,Manual,First Owner,26.59,1248,74,2000,190,5
Maruti Eeco 5 Seater AC BSIV,Maruti,2016,392000,38000,Petrol,Individual,Manual,First Owner,15.37,1196,73,3000,101,5
Tata Indica Vista Aqua TDI BSIII,Tata,2011,200000,200000,Diesel,Individual,Manual,Second Owner,17,1405,71,2500,135,5
Mahindra TUV 300 mHAWK100 T8 Dual Tone,Mahindra,2017,750000,60000,Diesel,Individual,Manual,First Owner,18.49,1493,100,2200,240,7
Maruti Alto LXi,Maruti,2008,110000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,3000,62,5
Mahindra Scorpio S4 Plus,Mahindra,2016,800000,79500,Diesel,Individual,Manual,First Owner,15.4,2179,120,2300,280,7
Honda WR-V i-DTEC VX,Honda,2018,834000,30000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,1750,200,5
Ford Ecosport 1.5 DV5 MT Titanium,Ford,2017,850000,63982,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,2375,204,5
Mahindra Bolero Power Plus Plus Non AC BSIV PS,Mahindra,2015,484999,100000,Diesel,Individual,Manual,First Owner,15.96,2523,63,1470,180,9
Tata Zest Revotron 1.2 XT,Tata,2015,380000,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,2750,140,5
Hyundai i20 Petrol CVT Asta,Hyundai,2018,700000,25000,Petrol,Individual,Automatic,Second Owner,17.4,1197,81.86,4000,114,5
Hyundai Sonata 2.4 GDi MT,Hyundai,2012,550000,330000,Petrol,Individual,Manual,Second Owner,13.44,2359,198.25,4250,250,5
Hyundai Elantra S,Hyundai,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,4700,177,5
Tata Tigor 1.2 Revotron XT,Tata,2018,450000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,84,3500,114,5
Renault KWID RXT,Renault,2016,290000,10000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,4386,72,5
Hyundai Xcent 1.1 CRDi SX Option,Hyundai,2018,665000,40142,Diesel,Dealer,Manual,First Owner,24.4,1120,71,2125,180,5
Tata Indica Vista TDI LS,Tata,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,19.4,1405,70,2500,135,5
Mahindra Bolero 2011-2019 Plus-AC Plus PS BSIII,Mahindra,2007,160000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523,63,1470,180,9
Toyota Etios Cross 1.2L G,Toyota,2016,434999,50000,Petrol,Individual,Manual,Second Owner,18.16,1197,78.8,3100,104,5
Mahindra Thar CRDe AC,Mahindra,2014,700000,24000,Diesel,Individual,Manual,First Owner,16.55,2498,105,1900,247,6
Maruti Swift Dzire LDI,Maruti,2018,650000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Maruti Eeco 5 Seater AC BSIV,Maruti,2012,190000,110000,Petrol,Individual,Manual,First Owner,15.37,1196,73,3000,101,5
Maruti Swift Dzire VDI,Maruti,2019,800000,35700,Diesel,Dealer,Manual,First Owner,28.4,1248,74.02,2000,190,5
Maruti 800 Std,Maruti,2010,120000,70000,Petrol,Individual,Manual,Second Owner,16.1,796,37,2500,59,4
Hyundai i20 Asta 1.4 CRDi,Hyundai,2012,400000,100000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,2125,219,5
Maruti Vitara Brezza VDi Option,Maruti,2016,610000,110000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,1750,200,5
Ford Figo 1.5D Titanium MT,Ford,2017,600000,30000,Diesel,Individual,Manual,First Owner,25.83,1498,99,2375,215,5
Jeep Compass 2.0 Limited,Jeep,2017,1515000,15000,Diesel,Individual,Manual,First Owner,17.1,1956,170,2125,350,5
Mahindra Scorpio 1.99 S10,Mahindra,2017,1250000,95000,Diesel,Individual,Manual,First Owner,15.4,1997,120,2300,280,7
Maruti Swift Dzire VDI,Maruti,2017,650000,20000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Skoda Rapid 1.6 MPI AT Elegance,Skoda,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,3800,153,5
Ford Figo Petrol EXI,Ford,2010,400000,30000,Petrol,Individual,Manual,First Owner,15.6,1196,70,4000,102,5
Hyundai Grand i10 1.2 Kappa Magna BSIV,Hyundai,2017,525000,10000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,4000,113,5
Hyundai EON Era Plus,Hyundai,2014,220000,50000,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,4000,74,5
Maruti Alto 800 LXI,Maruti,2017,270000,35000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,3500,69,5
Maruti Swift Dzire ZDI Plus,Maruti,2018,800000,30000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Maruti Ritz LXi,Maruti,2016,270000,82000,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,4000,114,5
Nissan Terrano XL Plus 85 PS,Nissan,2015,580000,90000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,1900,200,5
Honda City i DTEC S,Honda,2014,550000,110000,Diesel,Individual,Manual,Second Owner,26,1498,98.6,1750,200,5
Honda BR-V i-VTEC S MT,Honda,2017,700000,43000,Petrol,Dealer,Manual,First Owner,15.4,1497,117.3,4600,145,7
Force One SX ABS 7 Seating,Force,2018,1050000,13000,Diesel,Individual,Manual,First Owner,17,2200,139.01,2000,321,7
Maruti Vitara Brezza ZDi,Maruti,2017,750000,90000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,1750,200,5
Maruti Alto LXI,Maruti,2004,118000,60000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,3000,62,5
Mahindra KUV 100 mFALCON G80 K6 AW,Mahindra,2017,325000,5000,Petrol,Individual,Manual,Second Owner,18.15,1198,82,3550,115,6
Maruti Ciaz Alpha Diesel,Maruti,2019,1025000,32000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,1750,200,5
Hyundai i10 Sportz 1.2 AT,Hyundai,2010,258000,59734,Petrol,Dealer,Automatic,First Owner,16.95,1197,78.9,4000,111,5
Land Rover Freelander 2 TD4 HSE,Land,2013,1650000,64788,Diesel,Dealer,Automatic,First Owner,0,2179,115,2000,400,5
Mahindra Marazzo M6,Mahindra,2018,1200000,50000,Diesel,Individual,Manual,First Owner,17.3,1497,121,2125,300,7
Maruti Wagon R LXI BS IV,Maruti,2014,300000,10000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,3500,90,5
Tata Indica Vista Aqua 1.3 Quadrajet BSIV,Tata,2011,130000,54000,Diesel,Individual,Manual,Second Owner,18.4,1248,75,1750,190,5
Tata New Safari Dicor VX 4X2,Tata,2006,300000,175000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,2200,320,7
